latitude,longitude,room_type,property_type,accommodates,bedrooms,bathrooms,beds,number_of_reviews,reviews_per_month,review_scores_rating,minimum_nights,maximum_nights,availability_365,instant_bookable,host_is_superhost,price
43.77709,11.25216,Private room,Private room in serviced apartment,2,1.0,1.0,1.0,156.0,0.85,4.67,1,99,345,1.0,,130.0
43.76832,11.24348,Entire home/apt,Entire condo,4,2.0,2.0,3.0,40.0,0.22,4.77,6,31,162,0.0,0.0,112.0
43.76742,11.24378,Entire home/apt,Entire rental unit,4,2.0,1.0,2.0,34.0,0.19,4.48,4,1124,171,0.0,1.0,97.0
43.76944,11.26331,Entire home/apt,Entire rental unit,2,2.0,1.0,1.0,8.0,0.06,4.75,3,1125,51,1.0,0.0,215.0
43.76417541503906,11.24618434906006,Entire home/apt,Entire condo,4,1.0,1.0,2.0,441.0,2.47,4.86,3,25,292,0.0,1.0,173.0
43.77699,11.25216,Private room,Private room in serviced apartment,3,1.0,1.0,2.0,136.0,0.76,4.76,1,99,344,1.0,,125.0
43.77704,11.25217,Private room,Private room in serviced apartment,1,1.0,1.0,1.0,282.0,1.58,4.66,1,99,342,1.0,,98.0
43.777,11.25216,Private room,Private room in serviced apartment,3,1.0,1.0,2.0,144.0,0.84,4.74,1,99,334,1.0,,135.0
43.77386,11.25028,Private room,Private room in serviced apartment,3,1.0,2.0,1.0,549.0,3.06,4.59,2,10,49,0.0,1.0,99.0
43.77525,11.25258,Private room,Private room in home,1,1.0,1.0,1.0,38.0,0.23,4.58,3,35,315,0.0,0.0,69.0
43.77236,11.24787,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,152.0,0.87,4.57,3,31,221,0.0,1.0,123.0
43.77713,11.26182,Entire home/apt,Entire rental unit,4,1.0,1.0,3.0,141.0,0.84,4.83,3,75,187,1.0,1.0,139.0
43.76728,11.25066,Entire home/apt,Entire rental unit,8,3.0,2.0,3.0,167.0,1.0,4.89,2,90,199,1.0,1.0,243.0
43.77613,11.25492,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,228.0,1.33,4.72,3,30,288,1.0,1.0,140.0
43.77263,11.26316,Entire home/apt,Entire rental unit,4,2.0,1.5,2.0,122.0,0.71,4.92,31,1125,277,0.0,1.0,106.0
43.77089,11.25966,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,240.0,1.4,4.85,3,28,265,1.0,0.0,126.0
43.77591,11.25846,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,45.0,0.26,4.96,5,30,55,0.0,1.0,131.0
43.77931,11.25805,Entire home/apt,Entire rental unit,3,1.0,1.5,1.0,46.0,0.26,4.98,5,730,54,1.0,0.0,137.0
43.77525,11.25258,Private room,Private room in home,2,1.0,1.0,2.0,34.0,0.2,4.27,2,35,293,0.0,0.0,94.0
43.76971,11.2518,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,175.0,1.58,4.69,31,185,351,0.0,0.0,172.0
43.76988,11.23978,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,47.0,0.27,4.57,3,1125,301,1.0,0.0,96.0
43.77243,11.24519,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,564.7399999999998,6.8,4.76,2,180,257,0.0,0.0,112.0
43.77272,11.25914,Entire home/apt,Entire rental unit,4,2.0,2.0,3.0,564.7399999999998,5.54,4.93,2,15,217,0.0,,247.0
43.77556,11.26009,Entire home/apt,Entire rental unit,4,1.0,2.0,2.0,2.0,0.03,4.5,3,1125,42,1.0,0.0,253.0
43.77556,11.26009,Entire home/apt,Entire rental unit,6,2.0,1.0,3.0,11.0,0.09,4.45,3,365,22,1.0,0.0,368.0
43.77556,11.26009,Entire home/apt,Entire rental unit,6,2.0,1.0,3.0,26.0,0.15,4.32,3,1125,0,1.0,0.0,306.0
43.7736,11.25881,Entire home/apt,Entire rental unit,6,2.0,2.0,6.0,7.0,0.04,4.57,31,730,271,0.0,0.0,140.0
43.77551,11.25912,Entire home/apt,Entire rental unit,2,1.0,1.0,4.0,17.0,0.16,4.71,31,730,68,0.0,0.0,152.0
43.7755,11.25826,Entire home/apt,Entire rental unit,4,2.0,1.0,4.0,1.0,0.06,3.5,31,730,239,0.0,0.0,126.0
43.76807,11.25997,Entire home/apt,Entire rental unit,10,4.0,3.0,5.0,256.0,1.63,4.7,3,730,268,0.0,1.0,450.0
43.76947,11.254953,Entire home/apt,Entire condo,2,1.0,1.0,1.0,120.0,1.45,4.87,2,730,293,0.0,1.0,90.0
43.76207,11.24275,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,117.0,0.68,4.66,4,365,357,1.0,1.0,91.0
43.77382,11.2573,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,177.0,1.03,4.95,4,30,230,0.0,1.0,157.0
43.76801,11.26212,Entire home/apt,Entire condo,4,2.0,1.0,3.0,179.0,1.13,4.85,3,29,115,0.0,1.0,158.0
43.77017,11.27702,Entire home/apt,Entire rental unit,2,1.0,1.5,4.0,118.0,0.87,4.88,2,29,363,0.0,1.0,120.0
43.76977,11.26376,Entire home/apt,Entire rental unit,8,4.0,2.0,6.0,41.0,0.24,4.4,3,1125,5,1.0,0.0,459.0
43.80993910508455,11.273253396410809,Entire home/apt,Entire villa,10,4.0,4.0,7.0,41.0,0.26,4.8,4,1125,286,1.0,1.0,660.0
43.77423,11.23028,Entire home/apt,Entire rental unit,6,2.0,1.5,5.0,246.0,1.45,4.63,3,365,332,1.0,0.0,122.0
43.76987838745117,11.266142845153809,Entire home/apt,Entire condo,3,1.0,1.0,2.0,378.0,2.22,4.76,2,28,256,0.0,,99.0
43.76035,11.24044,Private room,Private room in home,2,1.0,1.0,2.0,54.0,0.32,4.6,31,1125,279,0.0,0.0,45.0
43.78213,11.24163,Private room,Private room in rental unit,2,1.0,1.0,1.0,564.7399999999998,4.0,4.8,2,28,236,1.0,1.0,77.0
43.77533,11.25254,Private room,Private room in home,2,1.0,1.0,2.0,29.0,0.21,4.59,2,35,273,0.0,0.0,94.0
43.77111,11.24893,Entire home/apt,Entire rental unit,1,1.0,1.0,1.0,94.0,0.65,4.9,6,29,282,0.0,1.0,69.0
43.77255,11.26408,Entire home/apt,Entire rental unit,7,3.0,2.0,7.0,57.0,0.36,4.85,2,730,136,1.0,1.0,354.0
43.77569,11.25229,Entire home/apt,Entire rental unit,6,3.0,2.0,5.0,90.0,0.54,4.52,3,730,171,1.0,0.0,412.0
43.77522,11.25454,Private room,Private room in rental unit,2,1.0,1.0,1.0,564.7399999999998,5.07,4.76,2,1125,332,1.0,0.0,119.0
43.78155,11.26059,Entire home/apt,Entire condo,8,2.0,2.0,4.0,172.0,1.02,4.61,1,29,293,1.0,1.0,315.0
43.77521,11.24534,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,464.0,2.77,4.93,1,90,273,1.0,,150.0
43.77586,11.2443,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,466.0,2.91,4.92,1,30,298,1.0,,108.0
43.77427,11.24729,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,564.7399999999998,4.42,4.83,1,29,156,1.0,,117.0
43.76584,11.2544,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,519.0,3.1,4.81,1,30,208,1.0,,113.0
43.77278,11.23709,Entire home/apt,Entire condo,2,1.0,1.0,1.0,3.0,0.08,5.0,31,1125,362,0.0,0.0,162.0
43.77225,11.24849,Entire home/apt,Entire rental unit,6,2.0,1.5,1.0,197.0,1.18,4.7,5,21,251,0.0,1.0,81.0
43.76506,11.24467,Entire home/apt,Entire rental unit,2,2.0,1.0,2.0,31.0,0.21,4.94,31,365,80,1.0,1.0,180.0
43.76554,11.2586,Entire home/apt,Entire rental unit,3,1.0,1.0,2.0,26.0,0.19,4.62,1,365,360,1.0,1.0,111.0
43.77069,11.27713,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,50.0,0.33,4.55,4,730,240,1.0,0.0,135.0
43.77178,11.26133,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,76.0,0.46,4.63,4,730,284,1.0,0.0,135.0
43.76778,11.24119,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,119.0,0.71,4.25,2,365,300,0.0,0.0,88.0
43.77187347412109,11.261885643005373,Entire home/apt,Entire condo,3,1.0,1.5,2.0,98.0,0.89,4.84,2,30,322,0.0,0.0,130.0
43.78437938421835,11.253579331814272,Entire home/apt,Entire home,4,1.0,1.0,2.0,60.0,0.38,4.91,2,7,143,0.0,1.0,165.0
43.77958,11.24487,Hotel room,Room in bed and breakfast,2,1.0,1.0,1.0,117.0,0.73,4.73,2,7,308,0.0,0.0,86.0
43.76786,11.25178,Entire home/apt,Entire condo,2,1.0,1.0,1.0,47.0,0.28,4.8,2,30,117,1.0,0.0,67.0
43.76545333862305,11.258498191833496,Private room,Private room in rental unit,2,1.0,2.0,4.0,16.0,0.13,4.75,3,20,41,0.0,1.0,85.0
